 ID     SSSSSSSS.mmmuuun  CH  RISE  COUN  ENER  DURATION AMP A-FRQ    RMS ASL PCNTS THR R-FRQ I-FRQ SIG-STRNGTH  ABS-ENERGY FRQ-C P-FRQ
  1           38.2194133   3     0     2     0         3  36   667 0.0006  19     1  35   500  1000  97.600E+00 527.132E-03   544   146
  1           38.2218338   3     0     1     0         0  35     0 0.0006  19     1  35     0  1000   0.000E+00   0.000E+00   526   449
  1           38.2279613   3     0     1     0         1  35  1000 0.0006  19     1  35     0  1000  45.750E+00 242.246E-03   548   458
  1           38.2320083   3     0     1     0         0  35     0 0.0006  20     1  35     0  1000   0.000E+00   0.000E+00   547   454
  1           38.3123833   1    27    18     0        46  45   391 0.0002  12    10  35   444   370   2.583E+03  22.703E+00   607   488
  1           38.3643997   1     0    14     0        39  47   359 0.0002  12     1  35   342  1000   2.678E+03  32.446E+00   575   468
  1           38.3666978   3     0     2     0       351  36     6 0.0004  15     2  35     0  2000   1.967E+03   2.910E+00   592   439
  1           38.3693275   3     0     1     0         1  37  1000 0.0004  16     1  35     0  1000  51.850E+00 330.319E-03   578   454
  1           38.3784845   3     0     1     0         1  35  1000 0.0004  16     1  35     0  1000  36.600E+00 184.152E-03   562   444
  1           38.3824523   3     0     1     0         0  35     0 0.0004  17     1  35     0  1000   0.000E+00   0.000E+00   530   190
  1           38.3876230   3     0     2     0         3  35   667 0.0004  17     2  35     0  2000  79.300E+00 400.144E-03   524   454
  1           38.3926212   3     0     2     0         1  36  2000 0.0004  18     1  35  1000  1000  45.750E+00 278.741E-03   541   449
  1           38.3973382   3     0     2     0       771  36     3 0.0004  18     1  35     1  1000   6.173E+03  11.103E+00   521   141
  1           38.4078915   3     0     1     0         0  35     0 0.0006  19     1  35     0  1000  15.250E+00 207.054E-03   553   156
  1           38.6745460   3     0     1     0         0  35     0 0.0004  16     1  35     0  1000   0.000E+00   0.000E+00   540   185
  1           38.8128782   3     1     4     0         8  43   500 0.0004  16     1  35   500  1000 359.900E+00   2.818E+00   516   454
  1           38.8149203   3     0     1     0         0  35     0 0.0004  16     1  35     0  1000   3.050E+00  68.894E-03   537   185
  1           38.8260635   3     0     2     0         1  39  2000 0.0004  17     1  35  1000  1000  67.100E+00 490.451E-03   535   185
