C:\MistrasGroup\AEwin for Express-8 Version V5.92\Data\Art_Wind_Tunnel\WTA_3_18_21_15Hz\WTA_3_18_21_15Hz_10min.DTA
Express-8 (r) Location Version 
Version V5.92

Thu Mar 18 10:32:08 2021

 ID     SSSSSSSS.mmmuuun  CH    RMS ASL THR  ABS-ENERGY  CH    RMS ASL THR  ABS-ENERGY
  2           38.0999000   1 0.0002  11  35  78.712E+00   3 0.0004  18  35 318.959E+00
  2           38.1999000   1 0.0002  11  35  65.088E+00   3 0.0004  16  35 216.886E+00
  2           38.2999000   1 0.0002  13  35 111.925E+00   3 0.0008  21  35 680.554E+00
  2           38.3999000   1 0.0002  14  35 138.813E+00   3 0.0004  18  35 358.608E+00
  2           38.4999000   1 0.0002  12  35  86.147E+00   3 0.0006  19  35 437.061E+00
  2           38.5999000   1 0.0002  11  35  64.532E+00   3 0.0004  16  35 207.948E+00
  2           38.6999000   1 0.0002  11  35  68.331E+00   3 0.0004  16  35 249.217E+00
  2           38.7999000   1 0.0002  11  35  64.102E+00   3 0.0004  15  35 193.891E+00
  2           38.8999000   1 0.0002  13  35 105.685E+00   3 0.0008  21  35 668.837E+00
  2           38.9999000   1 0.0002  10  35  61.886E+00   3 0.0004  15  35 170.855E+00
  2           39.0999000   1 0.0002  10  35  59.541E+00   3 0.0002  14  35 148.919E+00
  2           39.1999000   1 0.0002  11  35  66.922E+00   3 0.0004  16  35 228.753E+00
  2           39.2999000   1 0.0002  10  35  62.534E+00   3 0.0004  15  35 175.208E+00
  2           39.3999000   1 0.0002  10  35  58.366E+00   3 0.0002  14  35 137.866E+00
  2           39.4999000   1 0.0002  10  35  61.753E+00   3 0.0004  15  35 169.447E+00
  2           39.5999000   1 0.0002  11  35  63.077E+00   3 0.0004  15  35 186.700E+00
  2           39.6999000   1 0.0002  10  35  57.301E+00   3 0.0002  14  35 129.802E+00
  2           39.7999000   1 0.0002  10  35  59.264E+00   3 0.0002  14  35 150.110E+00
  2           39.8999000   1 0.0002  10  35  57.832E+00   3 0.0002  14  35 130.340E+00
  2           39.9999000   1 0.0002  10  35  59.146E+00   3 0.0002  14  35 145.505E+00
  2           40.0999000   1 0.0002  10  35  57.653E+00   3 0.0002  14  35 134.965E+00
  2           40.1999000   1 0.0002  10  35  57.348E+00   3 0.0002  13  35 124.579E+00
  2           40.2999000   1 0.0002  10  35  57.112E+00   3 0.0002  13  35 123.508E+00
  2           40.3999000   1 0.0002  10  35  56.952E+00   3 0.0002  14  35 127.035E+00
  2           40.4999000   1 0.0002  10  35  57.114E+00   3 0.0002  13  35 122.111E+00
  2           40.5999000   1 0.0002  10  35  58.154E+00   3 0.0002  14  35 134.313E+00
  2           40.6999000   1 0.0002  10  35  56.854E+00   3 0.0002  13  35 121.050E+00
  2           40.7999000   1 0.0002  10  35  59.240E+00   3 0.0002  14  35 147.195E+00
  2           40.8999000   1 0.0002  11  35  74.813E+00   3 0.0004  17  35 294.625E+00
  2           40.9999000   1 0.0002  10  35  58.367E+00   3 0.0002  14  35 133.398E+00
  2           41.0999000   1 0.0002  10  35  61.240E+00   3 0.0004  15  35 169.437E+00
  2           41.1999000   1 0.0002  10  35  58.879E+00   3 0.0002  14  35 141.571E+00
  2           41.2999000   1 0.0002  11  35  73.560E+00   3 0.0004  17  35 300.880E+00
  2           41.3999000   1 0.0002  11  35  73.347E+00   3 0.0004  17  35 302.427E+00
  2           41.4999000   1 0.0002  13  35 110.265E+00   3 0.0008  21  35 671.858E+00
  2           41.5999000   1 0.0002  11  35  70.309E+00   3 0.0004  17  35 277.207E+00
  2           41.6999000   1 0.0002  10  35  62.009E+00   3 0.0004  15  35 169.940E+00
  2           41.7999000   1 0.0002  11  35  77.320E+00   3 0.0004  18  35 331.857E+00
  2           41.8999000   1 0.0002  11  35  66.392E+00   3 0.0004  16  35 234.639E+00
  2           41.9999000   1 0.0002  11  35  64.941E+00   3 0.0004  16  35 209.650E+00
  2           42.0999000   1 0.0002  10  35  60.780E+00   3 0.0002  14  35 150.911E+00
  2           42.1999000   1 0.0002  10  35  60.685E+00   3 0.0002  14  35 145.992E+00
  2           42.2999000   1 0.0002  10  35  61.025E+00   3 0.0002  14  35 153.551E+00
  2           42.3999000   1 0.0002  11  35  64.229E+00   3 0.0004  15  35 186.723E+00
  2           42.4999000   1 0.0002  10  35  62.073E+00   3 0.0004  15  35 180.510E+00
  2           42.5999000   1 0.0002  10  35  62.367E+00   3 0.0004  15  35 188.013E+00
  2           42.6999000   1 0.0002  11  35  65.418E+00   3 0.0004  16  35 216.187E+00
  2           42.7999000   1 0.0002  10  35  62.561E+00   3 0.0002  14  35 155.742E+00
  2           42.8999000   1 0.0002  10  35  58.619E+00   3 0.0002  14  35 139.763E+00
  2           42.9999000   1 0.0002  10  35  58.516E+00   3 0.0002  14  35 137.641E+00
  2           43.0999000   1 0.0002  10  35  58.332E+00   3 0.0002  14  35 133.647E+00
  2           43.1999000   1 0.0002  10  35  59.685E+00   3 0.0002  14  35 149.095E+00
  2           43.2999000   1 0.0002  10  35  58.564E+00   3 0.0002  14  35 136.052E+00
  2           43.3999000   1 0.0002  10  35  58.208E+00   3 0.0002  14  35 137.320E+00
  2           43.4999000   1 0.0002  10  35  58.631E+00   3 0.0002  14  35 144.796E+00
  2           43.5999000   1 0.0002  10  35  62.149E+00   3 0.0004  15  35 170.680E+00
  2           43.6999000   1 0.0002  11  35  63.609E+00   3 0.0004  15  35 185.436E+00
  2           43.7999000   1 0.0002  10  35  58.226E+00   3 0.0002  14  35 134.856E+00
  2           43.8999000   1 0.0002  10  35  58.689E+00   3 0.0002  14  35 135.524E+00
  2           43.9999000   1 0.0002  10  35  58.539E+00   3 0.0002  14  35 142.694E+00
  2           44.0999000   1 0.0002  10  35  58.189E+00   3 0.0002  14  35 133.492E+00
  2           44.1999000   1 0.0002  10  35  60.163E+00   3 0.0002  14  35 151.402E+00
  2           44.2999000   1 0.0002  10  35  57.857E+00   3 0.0002  14  35 137.336E+00
  2           44.3999000   1 0.0002  10  35  57.501E+00   3 0.0002  13  35 125.466E+00
  2           44.4999000   1 0.0002  10  35  57.017E+00   3 0.0002  13  35 125.119E+00
  2           44.5999000   1 0.0002  10  35  56.794E+00   3 0.0002  13  35 123.729E+00
  2           44.6999000   1 0.0002  10  35  59.469E+00   3 0.0002  14  35 145.809E+00
  2           44.7999000   1 0.0002  11  35  70.480E+00   3 0.0004  17  35 253.056E+00
  2           44.8999000   1 0.0002  10  35  61.660E+00   3 0.0004  15  35 175.603E+00
  2           44.9999000   1 0.0002  11  35  66.569E+00   3 0.0004  16  35 228.684E+00
  2           45.0999000   1 0.0002  11  35  63.296E+00   3 0.0004  15  35 189.349E+00
  2           45.1999000   1 0.0002  10  35  62.005E+00   3 0.0004  15  35 167.808E+00
  2           45.2999000   1 0.0002  11  35  69.319E+00   3 0.0004  17  35 252.432E+00
  2           45.3999000   1 0.0002  10  35  58.295E+00   3 0.0002  14  35 133.779E+00
  2           45.4999000   1 0.0002  10  35  60.285E+00   3 0.0002  14  35 147.576E+00
  2           45.5999000   1 0.0002  10  35  58.327E+00   3 0.0002  14  35 139.135E+00
  2           45.6999000   1 0.0002  10  35  58.334E+00   3 0.0002  14  35 134.038E+00
  2           45.7999000   1 0.0002  11  35  63.269E+00   3 0.0004  15  35 186.364E+00
  2           45.8999000   1 0.0002  10  35  58.620E+00   3 0.0002  14  35 139.383E+00
  2           45.9999000   1 0.0002  11  35  74.621E+00   3 0.0004  18  35 332.770E+00
  2           46.0999000   1 0.0002  11  35  71.795E+00   3 0.0004  17  35 286.681E+00
  2           46.1999000   1 0.0002  11  35  67.234E+00   3 0.0004  16  35 229.516E+00
  2           46.2999000   1 0.0002  10  35  62.408E+00   3 0.0004  15  35 181.979E+00
  2           46.3999000   1 0.0002  11  35  66.836E+00   3 0.0004  16  35 239.349E+00
  2           46.4999000   1 0.0002  10  35  61.187E+00   3 0.0002  14  35 151.553E+00
  2           46.5999000   1 0.0002  11  35  67.083E+00   3 0.0004  16  35 216.866E+00
  2           46.6999000   1 0.0002  11  35  63.948E+00   3 0.0004  15  35 186.909E+00
  2           46.7999000   1 0.0002  10  35  59.810E+00   3 0.0002  14  35 151.866E+00
  2           46.8999000   1 0.0002  10  35  58.913E+00   3 0.0002  14  35 138.085E+00
  2           46.9999000   1 0.0002  10  35  58.241E+00   3 0.0002  14  35 132.337E+00
  2           47.0999000   1 0.0002  11  35  69.171E+00   3 0.0004  16  35 241.563E+00
  2           47.1999000   1 0.0002  10  35  62.047E+00   3 0.0004  15  35 175.022E+00
  2           47.2999000   1 0.0002  10  35  59.012E+00   3 0.0002  14  35 140.806E+00
  2           47.3999000   1 0.0002  10  35  59.236E+00   3 0.0002  14  35 143.555E+00
  2           47.4999000   1 0.0002  10  35  59.889E+00   3 0.0002  14  35 154.005E+00
  2           47.5999000   1 0.0002  11  35  64.176E+00   3 0.0004  15  35 187.121E+00
  2           47.6999000   1 0.0002  10  35  59.495E+00   3 0.0002  14  35 147.465E+00
  2           47.7999000   1 0.0002  11  35  64.272E+00   3 0.0004  16  35 216.817E+00
  2           47.8999000   1 0.0002  10  35  59.368E+00   3 0.0002  14  35 147.136E+00
