ID     SSSSSSSS.mmmuuun  CH  RISE  COUN  ENER  DURATION AMP A-FRQ    RMS ASL PCNTS THR R-FRQ I-FRQ SIG-STRNGTH  ABS-ENERGY FRQ-C P-FRQ
  1          119.2270975   1     0     1     0         2  39   500 0.0008  21     1  35     0  1000 140.300E+00   1.297E+00   727     4
  1          153.6887228   1     0     1     0         2  44   500 0.0008  21     1  35     0  1000 262.300E+00   3.820E+00   630     4
  1          181.8287513   1     0     2     1        52  59    38 0.0008  21     1  35    19  1000   6.954E+03 208.256E+00   419    24
  1          200.8381360   1     0     1     0         2  39   500 0.0008  21     1  35     0  1000 143.350E+00   1.415E+00   701     4
  1          228.9386510   1     0     1     0         2  40   500 0.0008  21     1  35     0  1000 170.800E+00   1.742E+00   699     4
  1          258.0038550   1     0     1     0         2  38   500 0.0008  21     1  35     0  1000 109.800E+00 921.504E-03   747     4
  1          263.3512420   1     0     1     0         0  36     0 0.0008  21     1  35     0  1000  21.350E+00 229.585E-03   811     4
  1          529.4017975   1     0     1     0         2  39   500 0.0008  21     1  35     0  1000 131.150E+00   1.203E+00   736     4
  1          569.1441537   1     0     1     0         0  35     0 0.0008  21     1  35     0  1000  21.350E+00 196.069E-03   793     4
  1          620.4039327   1     0     2     0        42  54    48 0.0008  21     1  35    24  1000   3.523E+03  64.917E+00   464    29
  1          624.7308570   1     0     1     0        16  50    63 0.0008  21     1  35     0  1000   1.403E+03  19.958E+00   526    24
  1          654.4603645   1     0     2     1        56  63    36 0.0008  21     1  35    18  1000  11.093E+03 508.489E+00   408    24
  1          656.2693105   1     0     1     0         2  45   500 0.0008  21     1  35     0  1000 268.400E+00   3.915E+00   630     4
  1          697.1328400   1     0     1     0         2  42   500 0.0008  21     1  35     0  1000 204.350E+00   2.403E+00   675     4
  1          770.7832738   1     0     1     0        19  54    53 0.0008  21     1  35     0  1000   2.367E+03  48.022E+00   476    34
  1          843.0195197   1     0     1     0         2  41   500 0.0008  21     1  35     0  1000 195.200E+00   2.250E+00   677     4
  1          895.7121157   1     0     2     0        52  57    38 0.0008  21     1  35    19  1000   5.789E+03 144.950E+00   428    24
  1         1050.5837588   1     0     1     0        17  47    59 0.0008  21     1  35     0  1000   1.272E+03  15.078E+00   537    29
  1         1058.0230887   1     0     1     0         1  35  1000 0.0008  21     1  35     0  1000  54.900E+00 409.268E-03   778     4
  1         1253.4371225   1     0     1     0         0  36     0 0.0008  21     1  35     0  1000  21.350E+00 185.083E-03   806     4
  1         1323.1145690   1     0     1     0        14  47    71 0.0008  21     1  35     0  1000 918.050E+00  10.302E+00   576     4
  1         1341.6751653   1     0     1     0         2  41   500 0.0008  21     1  35     0  1000 179.950E+00   2.028E+00   676     4
  1         1369.4557395   1     0     1     0        17  50    59 0.0008  21     1  35     0  1000   1.400E+03  19.119E+00   531    29
  1         1523.6808202   1     0     1     0         0  35     0 0.0008  21     1  35     0  1000   0.000E+00   0.000E+00   840     4
  1         1590.5095580   1     0     1     0         2  44   500 0.0008  21     1  35     0  1000 253.150E+00   3.531E+00   629     4
  1         1685.4187133   1     0     1     0         2  39   500 0.0008  21     1  35     0  1000 143.350E+00   1.304E+00   740     4
  1         1765.1773085   1     0     1     0        17  52    59 0.0008  21     1  35     0  1000   1.705E+03  28.269E+00   504    24
  1         1783.5868245   1     0     1     0         0  35     0 0.0008  21     1  35     0  1000   0.000E+00   0.000E+00   845     4
  1         1785.7648508   1     0     1     0        12  40    83 0.0008  21     1  35     0  1000 472.750E+00   2.868E+00   694     4
  1         2094.9218690   1     0     1     0         0  35     0 0.0008  21     1  35     0  1000   9.150E+00  96.265E-03   827     4
  1         2177.4023380   1     0     1     0         0  35     0 0.0008  21     1  35     0  1000   0.000E+00   0.000E+00   851     4
